standard,lemma,postag
sin,sin,n1
with,with,acp-p
baptism,baptism,n1
BISHOP,,
OF,,
CANTERBURY,,
Then,then,av
hear,hear,vvb
me,i,pno
gracious,gracious,j
sovereign,sovereign,n1_j
and,and,cc
you,you,pn
peers,peer,n2
That,that,cs
owe,owe,vvb
yourselves,yourselves,px
your,your,po
lives,life,n2
and,and,cc
services,service,n2
To,to,acp-p
this,this,d
imperial,imperial,j
throne,throne,n1
There,there,acp-av
is,be,vvz
no,no,d-x
bar,bar,n1
To,to,acp-cs
make,make,vvi
against,against,acp-p
your,your,po
Highness',highness,n1g
claim,claim,n1
to,to,acp-p
France,France,n1-nn
But,but,acp-cc
this,this,d
which,which,crq-r
they,they,pns
produce,produce,vvb
from,from,acp-p
Pharamond,Pharamont,n1-nn
In,in,acp-p
terram,terram,fw-la
Salicam,salicus,fw-la
mulieres,mulieres,fw-la
ne,ne,fw-fr
succedant,succedo,fw-la
No,no,d-x
woman,woman,n1
shall,shall,vmb
succeed,succeed,vvi
in,in,acp-p
Salic,Salique,j-nn
land,land,n1
Which,which,crq-r
Salic,Salique,j-nn
land,land,n1
the,the,d
French,French,j-nn
unjustly,unjust,av_j
gloze,gloze,vvb
To,to,acp-cs
be,be,vvi
the,the,d
realm,realm,n1
of,of,acp-p
France,France,n1-nn
and,and,cc
Pharamond,Pharamont,n1-nn
The,the,d
founder,founder,n1
of,of,acp-p
this,this,d
law,law,n1
and,and,cc
female,female,j
bar,bar,n1
Yet,yet,av
their,their,po
own,own,d
authors,author,n2
faithfully,faithful,av_j
affirm,affirm,vvb
That,that,cs
the,the,d
land,land,n1
Salic,Salique,j-nn
is,be,vvz
in,in,acp-p
Germany,Germany,n1-nn
Between,between,acp-p
the,the,d
floods,flood,n2
of,of,acp-p
Sala,Sala,n1-nn
and,and,cc
of,of,acp-p
Elbe,Elbe,n1-nn
Where,where,crq-cs
Charles,Charles,n1-nn
the,the,d
Great,great,j
having,have,vvg
subdued,subdue,vvn
the,the,d
Saxons,Saxon,n2-nn_j
There,there,acp-av
left,leave,vvd
behind,behind,acp-av
and,and,cc
settled,settle,vvd
certain,certain,j
French,French,j-nn
Who,who,crq-r
holding,hold,vvg
in,in,acp-p
disdain,disdain,n1
the,the,d
German,German,j-nn
women,woman,n2
For,for,acp-p
some,some,d
dishonest,dishonest,j
manners,manner,n2
of,of,acp-p
their,their,po
life,life,n1
Established,establish,vvn
then,then,av
this,this,d
law,law,n1
to,to,acp-p
wit,wit,vvi
no,no,d-x
female,female,n1_j
Should,shall,vmd
be,be,vvi
inheritrix,inheritrix,n1
in,in,acp-p
Salic,Salique,j-nn
land,land,n1
Which,which,crq-r
Salic,Salique,j-nn
as,as,acp-cs
I,i,pns
said,say,vvd
'twixt,betwixt,acp-p
Elbe,Elbe,n1-nn
and,and,cc
Sala,Sala,n1-nn
Is,be,vvz
at,at,acp-p
